tipo,precio,m2,precio_m2,zona,features
Casa,800000,80,10000,Loma Hermosa,80 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1300000,120,10833,General San Martín,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,800000,88,9091,José León Suárez,88 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1200000,100,12000,San Andrés,100 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1300000,120,10833,Villa Ballester,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1400000,125,11200,Villa Ballester,125 m² tot. 4 amb. 3 dorm. 3 baños 1 coch.
Casa,1300000,157,8280,José León Suárez,157 m² tot. 4 amb. 3 dorm. 2 baños
Casa,1500000,160,9375,Villa Ballester,160 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,3700000,596,6208,San Andrés,596 m² tot. 11 amb. 7 dorm. 4 baños 4 coch.
Casa,800000,170,4706,José León Suárez,170 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,900000,170,5294,José León Suárez,170 m² tot. 6 amb. 5 dorm. 1 baño 1 coch.
Casa,890000,150,5933,Loma Hermosa,150 m² tot. 4 amb. 3 dorm. 1 baño 2 coch.
Casa,900000,81,11111,Villa Maipu,81 m² tot. 3 amb. 2 dorm. 2 baños 1 coch.
Casa,900000,155,5806,Villa Ballester,155 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,950000,234,4060,Villa Ballester,234 m² tot. 3 amb. 2 dorm. 1 baño 2 coch.
Casa,800000,448,1786,Villa Ballester,448 m² tot. 2 amb. 1 dorm. 1 baño
Casa,800000,80,10000,Loma Hermosa,80 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1300000,120,10833,General San Martín,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,800000,88,9091,José León Suárez,88 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1200000,100,12000,San Andrés,100 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1300000,120,10833,Villa Ballester,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1400000,125,11200,Villa Ballester,125 m² tot. 4 amb. 3 dorm. 3 baños 1 coch.
Casa,1300000,157,8280,José León Suárez,157 m² tot. 4 amb. 3 dorm. 2 baños
Casa,1500000,160,9375,Villa Ballester,160 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,3700000,596,6208,San Andrés,596 m² tot. 11 amb. 7 dorm. 4 baños 4 coch.
Casa,800000,170,4706,José León Suárez,170 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,900000,170,5294,José León Suárez,170 m² tot. 6 amb. 5 dorm. 1 baño 1 coch.
Casa,890000,150,5933,Loma Hermosa,150 m² tot. 4 amb. 3 dorm. 1 baño 2 coch.
Casa,900000,81,11111,Villa Maipu,81 m² tot. 3 amb. 2 dorm. 2 baños 1 coch.
Casa,900000,155,5806,Villa Ballester,155 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,950000,234,4060,Villa Ballester,234 m² tot. 3 amb. 2 dorm. 1 baño 2 coch.
Casa,800000,448,1786,Villa Ballester,448 m² tot. 2 amb. 1 dorm. 1 baño
Casa,800000,80,10000,Loma Hermosa,80 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1300000,120,10833,General San Martín,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,800000,88,9091,José León Suárez,88 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1200000,100,12000,San Andrés,100 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1300000,120,10833,Villa Ballester,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1400000,125,11200,Villa Ballester,125 m² tot. 4 amb. 3 dorm. 3 baños 1 coch.
Casa,1300000,157,8280,José León Suárez,157 m² tot. 4 amb. 3 dorm. 2 baños
Casa,1500000,160,9375,Villa Ballester,160 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,3700000,596,6208,San Andrés,596 m² tot. 11 amb. 7 dorm. 4 baños 4 coch.
Casa,800000,170,4706,José León Suárez,170 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
